geo,indicator,date,month,value,unit,sub_indicator_short
PT,UN_Tourism_inbound_accommodation_12_2025,2016,,10931.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2017,,12324.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2018,,12598.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2019,,13259.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2020,,3163.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2021,,4714.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2022,,12297.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2023,,14564.2710000014,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
PT,UN_Tourism_inbound_accommodation_12_2025,2024,,15454.7620000015,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
CA,UN_Tourism_inbound_accommodation_12_2025,2023,,7087.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
CA,UN_Tourism_inbound_accommodation_12_2025,2024,,6612.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2016,,308.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2017,,323.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2018,,276.5,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2019,,244.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2020,,71.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2021,,34.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
SZ,UN_Tourism_inbound_accommodation_12_2025,2022,,88.6,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
