geo,indicator,date,month,value,unit,sub_indicator_short
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2018,,114795.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2019,,42560.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2020,,188206.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2021,,147662.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2022,,134245.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2023,,151245.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2024,,151245.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2016,,190320.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2017,,163635.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2018,,149452.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2019,,140620.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2020,,66711.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2021,,80823.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2022,,51262.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2023,,38907.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2024,,17336.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2016,,464730.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2017,,418069.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2018,,394213.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2019,,308928.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2020,,200748.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2021,,310288.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2022,,208899.0,people,Net migration plus statistical adjustment
